Ordnung;Value;RatioToBase
1.0;324.993117;100.000000
2.0;0.029533;0.009087
3.0;2.209840;0.679965
4.0;0.037743;0.011613
5.0;4.996533;1.537427
6.0;0.053413;0.016435
7.0;4.566674;1.405160
8.0;0.052051;0.016016
9.0;0.928693;0.285758
10.0;0.049483;0.015226
11.0;0.610057;0.187714
12.0;0.035421;0.010899
13.0;0.732001;0.225236
14.0;0.036785;0.011319
15.0;0.522726;0.160842
16.0;0.028190;0.008674
Ordnung;Value;RatioToBase
1.0;324.690348;100.000000
2.0;0.067137;0.020677
3.0;2.303846;0.709552
4.0;0.062147;0.019140
5.0;4.993847;1.538034
6.0;0.055113;0.016974
7.0;4.554498;1.402720
8.0;0.079424;0.024461
9.0;0.926439;0.285330
10.0;0.084779;0.026111
11.0;0.583116;0.179591
12.0;0.076423;0.023537
13.0;0.741304;0.228311
14.0;0.035563;0.010953
15.0;0.519185;0.159902
16.0;0.028550;0.008793
