Reference, Quantity, Value, Footprint, Datasheet, Digikey SKU, Hersteller
C1 C2 ,2,"0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheets.avx.com/U-Series.pdf","478-10836-1-ND","AVX Corporation"
C3 C4 ,2,"10u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://datasheets.avx.com/U-Series.pdf","1276-6472-1-ND"," 	Samsung Electro-Mechanics"
C5 ,1,"4.7u","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","https://www.nichicon.co.jp/english/products/pdfs/e-ups.pdf"," 493-5420-3-ND",""
C6 ,1,"100u","Capacitor_SMD:2312_SMD_CAP","https://datasheets.avx.com/TPS.pdf","478-12967-2-ND","AVX Corporation"
C7 ,1,"68u","Capacitor_SMD:2312_SMD_CAP","https://content.kemet.com/datasheets/KEM_T2009_T495.pdf","399-10452-6-ND","KEMET"
C9 C10 ,2,"1u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","587-6338-1-ND",""
D1 D2 ,2,"D_Schottky","Diode_SMD:D_SOD-323_HandSoldering","https://toshiba.semicon-storage.com/info/docget.jsp?did=14077&prodName=CUS10S30","CUS10S30H3FTR-ND",""
F1 ,1,"Fuse","own_footprints:Fuseholder 5x20mm","https://belfuse.com/resources/datasheets/circuitprotection/ds-cp-0659c-0659p-series.pdf","WK0011-ND",""
J1 ,1,"L_VinN_out","own_footprints:Flachstecker_8mm_B6.3mm_P4mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1217136&DocType=Customer+Drawing&DocLang=English"," A110911CT-ND ",""
J2 ,1,"L_VinL_out","own_footprints:Flachstecker_8mm_B6.3mm_P4mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1217136&DocType=Customer+Drawing&DocLang=English"," A110911CT-ND ",""
J3 ,1,"L_VinN_in","own_footprints:Flachstecker_8mm_B6.3mm_P4mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1217136&DocType=Customer+Drawing&DocLang=English"," A110911CT-ND ",""
J4 ,1,"H_VinL_in","own_footprints:Flachstecker_8mm_B6.3mm_P4mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1217136&DocType=Customer+Drawing&DocLang=English"," A110911CT-ND ",""
J9 ,1,"Conn_01x08_Male","Connector_Wuerth:FPC_8-pin_vertical_686108188622","~","732-686108188822CT-ND",""
L1 ,1,"2.2uH","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=CKP2012N2R2M-T%20%20&u=M","587-2771-2-ND",""
PS1 ,1,"PBO-1-S5","Converter_ACDC:Converter_ACDC_CUI_PBO-3-Sxx_THT_Vertical","https://www.cui.com/product/resource/pbo-1.pdf","102-4600-ND",""
R1 R2 R4 R3 ,4,"1meg","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.vishay.com/docs/28773/crcwce3.pdf","541-4174-1-ND","Vishay Dale"
R5 ,1,"1meg","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204&DocType=DS&DocLang=English","A129785CT-ND","TE Connectivity Passive Product"
RS1 ,1,"3k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","P3.0KDACT-ND",""
RV1 ,1,"MOV","Varistor:RV_Disc_D7mm_W5.7mm_P5mm","https://www.littelfuse.com/~/media/electronics/datasheets/varistors/littelfuse_varistor_la_datasheet.pdf.pdf","F3007-ND",""
U1 ,1,"UCC12040","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","https://www.ti.com/lit/ds/symlink/ucc12040.pdf?HQS=TI-null-null-digikeymode-df-pf-null-wwe&ts=1594815809291","296-UCC12040DVE-ND",""
U2 ,1,"ACS71020","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","https://media.digikey.com/pdf/Data%20Sheets/Allegro%20PDFs/ACS71020.pdf","620-1995-2-ND",""
U3 ,1,"Teensy4.0","teensy:Teensy40",""
U4 ,1,"Si8641","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf","336-2566-ND",""
